row.ID,Molecule,Molecular Classification,Treatment,Peak_Area,Treatment_groups,Peak_Area_mean,Treatment,Bacteria,Competition?
360,Leucinic acid,360 Trialkylamines,pink_host1,10618.855,Roseomonas+host,8.665881,Host-Microbiome Feedback,Roseomonas sp.,No
365,No ID 365,365 Dipeptides,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
578,No ID 578,578 Alpha amino acids,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
581,No ID 581,581 Proline and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
582,Glutamine,582 Proline and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
583,L-asparagine,583 Alpha amino acids,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
592,L-Histidine,592 Histidine and derivatives,pink_host1,0,Roseomonas+host,0,Host-Microbiome Feedback,Roseomonas sp.,No
360,Leucinic acid,360 Trialkylamines,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
365,No ID 365,365 Dipeptides,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
578,No ID 578,578 Alpha amino acids,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
581,No ID 581,581 Proline and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
582,Glutamine,582 Proline and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
583,L-asparagine,583 Alpha amino acids,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
592,L-Histidine,592 Histidine and derivatives,pink_innate1,0,Roseomonas+DOM,0,Innate Host Selection,Roseomonas sp.,No
360,Leucinic acid,360 Trialkylamines,host1,0,host alone,0,Host-Microbiome Feedback,Control,No
365,No ID 365,365 Dipeptides,host1,0,host alone,0,Host-Microbiome Feedback,Control,No
578,No ID 578,578 Alpha amino acids,host1,4054.912,host alone,8.964137,Host-Microbiome Feedback,Control,No
581,No ID 581,581 Proline and derivatives,host1,87168.71,host alone,11.397645,Host-Microbiome Feedback,Control,No
582,Glutamine,582 Proline and derivatives,host1,100296.25,host alone,11.599915,Host-Microbiome Feedback,Control,No
583,L-asparagine,583 Alpha amino acids,host1,59284.46,host alone,11.105471,Host-Microbiome Feedback,Control,No
592,L-Histidine,592 Histidine and derivatives,host1,40369.11,host alone,10.572283,Host-Microbiome Feedback,Control,No
360,Leucinic acid,360 Trialkylamines,innate1,0,DOM alone,0,Innate Host Selection,Control,No
365,No ID 365,365 Dipeptides,innate1,0,DOM alone,0,Innate Host Selection,Control,No
