row.ID,Molecule,ClassyFire,Treatment,Treatment_groups,log_peak,Peak_Area_mean,treatment,Bacteria,Control
669,No ID 669,669 No ClassyFire ID,pink_host,Roseomonas+host,13.501033,13.335705,Host-Microbiome Feedback,roseomonas,No
602,Theanine,602 Alpha amino acids*,pink_host,Roseomonas+host,7.157288,6.060232,Host-Microbiome Feedback,roseomonas,No
571,Acetyllysine,571 N-acyl-alpha amino acids*,pink_host,Roseomonas+host,9.901159,9.924496,Host-Microbiome Feedback,roseomonas,No
558,Methylglutarate,558 Amino acids*,pink_host,Roseomonas+host,15.358723,15.307282,Host-Microbiome Feedback,roseomonas,No
437,No ID 437,437 N-acyl-alpha amino acids*,pink_host,Roseomonas+host,11.889474,11.98082,Host-Microbiome Feedback,roseomonas,No
435,No ID 435,435 Purines and purine derivatives*,pink_host,Roseomonas+host,13.757791,13.672484,Host-Microbiome Feedback,roseomonas,No
417,Ile-Leu,417 Dipeptides*,pink_host,Roseomonas+host,7.781183,7.616744,Host-Microbiome Feedback,roseomonas,No
399,No ID 399,399 Alpha amino acid esters*,pink_host,Roseomonas+host,12.987432,12.729259,Host-Microbiome Feedback,roseomonas,No
358,No ID 358,358 No ClassyFire ID,pink_host,Roseomonas+host,13.732797,13.795745,Host-Microbiome Feedback,roseomonas,No
356,No ID 356,356 No ClassyFire ID,pink_host,Roseomonas+host,13.349197,13.412074,Host-Microbiome Feedback,roseomonas,No
342,No ID 342,342 Dialkylamines*,pink_host,Roseomonas+host,11.84197,12.184651,Host-Microbiome Feedback,roseomonas,No
317,No ID 317,317 No ClassyFire ID,pink_host,Roseomonas+host,9.905574,9.575469,Host-Microbiome Feedback,roseomonas,No
275,No ID 275,275 Indoles*,pink_host,Roseomonas+host,8.804714,8.773983,Host-Microbiome Feedback,roseomonas,No
270,Acyl-Tryptamine,270 Secondary carboxylic acid amides*,pink_host,Roseomonas+host,14.810244,14.850793,Host-Microbiome Feedback,roseomonas,No
261,Dyphylline,261 Hybrid peptides*,pink_host,Roseomonas+host,10.996259,13.009494,Host-Microbiome Feedback,roseomonas,No
260,No ID 260,260 Amino acids and derivatives*,pink_host,Roseomonas+host,12.632001,12.697309,Host-Microbiome Feedback,roseomonas,No
226,No ID 226,226 6-aminopurines*,pink_host,Roseomonas+host,12.505778,12.56647,Host-Microbiome Feedback,roseomonas,No
221,No ID 221,221 Aryl-aldehydes,pink_host,Roseomonas+host,11.067682,10.863492,Host-Microbiome Feedback,roseomonas,No
217,No ID 217,217 6-aminopurines*,pink_host,Roseomonas+host,12.804435,12.749621,Host-Microbiome Feedback,roseomonas,No
209,Juglomycin F,209 Acetamides*,pink_host,Roseomonas+host,10.364228,10.307173,Host-Microbiome Feedback,roseomonas,No
134,No ID 134,134 Dialkyl ethers,pink_host,Roseomonas+host,9.325227,11.757598,Host-Microbiome Feedback,roseomonas,No
121,No ID 121,121 Guanidines*,pink_host,Roseomonas+host,8.344424,8.302626,Host-Microbiome Feedback,roseomonas,No
