Feature,mixed_host3,mixed_innate1,white_host2,host1,host2,host3,mixed_host1,pink_host1,white_host1,pink_host2,pink_host3,pink_innate1,pink_innate2,innate3,innate2,pink_innate3,innate1,mixed_host2,white_host3,white_innate1,white_innate2,mixed_innate2,mixed_innate3,white_innate3
m_115,96119256,99539896,47423976,71772660,70623730,85342180,75637990,87387710,80501930,71940376,60274256,83799860,69742720,92119680,72917580,75491736,72580350,87514216,71977690,59884070,56851016,75750424,99252370,73145310
m_359,104525090,104031520,67070524,72215230,72078904,72702020,71883176,77225500,81031710,75694730,78551230,77449304,77000690,79257580,81096536,81220000,77039680,82804340,74938370,67742200,67158840,75003240,80224160,79754620
m_59,30858238,60515836,51242180,50261600,51397116,54705296,59763976,62823510,67070320,62064696,67886184,60109770,58681720,61878024,61778296,65392216,57317040,66843548,59970564,48821936,48850050,57254764,61120344,60663496
m_79,69930904,69496184,48488470,50655704,51494816,52281590,51179880,55140380,56206800,53055132,54808810,54073730,53850076,55506160,56553652,56043620,53822320,57740220,52672544,48930560,48249376,52891310,55941860,56191644
m_389,83787400,83029590,52958480,57194090,57668670,57954916,56937810,61517764,64743900,60416772,62888800,61828668,61668564,63405976,64489790,65128750,60877896,65715080,59953710,53862570,53245972,59709292,64013850,63264860
m_20,18524650,39551040,1277184.4,1470300.1,1658564.6,1649468.6,1374898.8,1634448,1800407.9,1449560.9,1403390.5,1730096.9,1926747.9,1800369.6,1852511.2,1855172.9,1795287.4,1744054,1585320.4,1437895.2,1454258.4,1950992.5,1707868.8,1827641.5
m_78,2950169.2,4868077.5,1457334.9,12971967,12084139,10386947,2845502.2,2860808,2463816.2,2267887,1844803.2,34968076,31890894,6169139.5,5417289.5,9575095,5040850,3002540.2,2300981.8,5026236.5,4177323,7642428.5,5519614,4717465.5
m_414,3173844.8,4724860,7142785.5,4443559,4178574.8,9503437,8631274,3911616.5,9622771,9130743,2750812.2,19864810,11295751,5009561.5,5062279,8086481,7717528.5,7649543,7228777,20570026,22410746,14963009,2960219.8,14028359
m_84,1187626.4,965155.2,61615.33,1920194.9,1840333.5,2152325.5,1147766.5,1152013.2,784597.06,949228.7,822105.7,15677906,13161726,2842963.2,2452358.5,4217702,2236132.2,1439418.1,1084554.2,1116496.9,1998527,2381905.5,1371934.5,1855824.9
m_198,82715.45,1526332.5,52310.566,7337321,8241597,62743.023,49874.688,60917.73,66819.33,83676.94,40110.867,9221624,7541131.5,8522427,8389969,8784304,9113451,9634027,2615083.2,807536.44,7560239,933280.7,1027676.75,1012807.3
m_215,420813.94,2247226.2,63429.383,7681315.5,7858665.5,91467.43,76674.555,94442.04,143588.2,104394.24,194563.98,12726330,12389489,12384845,13070158,12321333,11943746,12238447,8817312,1366158.6,7627387.5,1884675,1726639.4,1570164.2
m_66,613768.56,1173753.2,3081715,2161296,2605480.5,8000060.5,4954389,4486936,5214159,4731008,2371846.5,4255446.5,4425907,2468370.2,4762109.5,4567805,5942278.5,5235122,5883736.5,6060319,7514905,8479981,3151049.2,4545410
m_176,615561.7,1139987.1,3461154.5,2304004.8,2974708.2,8148261.5,5263878,4717395,5203701.5,5189421.5,2353734.8,4524343.5,4906593,2925018.5,4971499.5,4847234.5,6400068.5,5367170.5,5893573,6695981.5,7771635.5,8516692,3345712,5215439
m_19,2571421.8,4426718.5,6338578,1278023.8,1074196.8,4410559,2385185.5,3633671.2,2136213.2,2341779.8,1034389.6,5589252.5,7198147,5667721,4511485,6889934.5,6558893.5,4768979,5607495,6014992,5751580,9611970,7274206,5150820.5
m_422,3328403.5,3302028,2135305,2057747.5,1975160.9,4746443,4584634.5,5866902.5,3722357.5,5300808.5,3084837.2,7833844,10237982,5906630,4523483.5,9393966,8171306.5,6214192.5,5515554.5,8551433,4929008.5,9773753,1616201.9,4369565.5
m_423,2233474.8,2364989.2,1583829.4,1526804.8,1477498.5,3567637.5,3388265,4280066,2777992.8,3844626,2177149.8,5801753.5,8187138.5,4363071.5,3328094.5,6514789,5985740.5,4474237.5,3784374.5,5897900,3600970.2,7223898,1184335.9,3240089.5
m_166,12941517,7836237.5,5036759,7658862.5,7230640,8708607,7032072,8182065.5,6862916.5,5211930.5,6026955,5879135.5,4661100,7874802.5,3670777,4249814,3165436.2,9081094,6493181,2422141.8,3435606.2,3413887,6983721,2460833.8
m_230,2849582.5,2845973.8,4744128,4495316,4614961.5,4857946,5460579,5758715.5,6119070.5,5654476.5,6218933.5,5352899.5,5200233.5,5540333,5521271.5,5788435.5,5118571.5,6016293.5,5498974.5,4428354.5,4451102,5270726.5,5596514.5,5425904.5
m_439,6180247.5,6169983.5,3711634,4064717.2,4128638.8,4098164.2,4075047,4392014.5,4596971.5,4300540.5,4507903.5,4389215.5,4421519,4489225,4576151,4656842,4297183,4760664.5,4279779.5,3858985,3715224.2,4251014.5,4625908,4534908.5
m_16,5686204,5206907.5,4671550,5269675,5432481.5,5313710,5184353.5,5247780.5,5235368.5,5255994,5179940,5436899.5,5555409,5188382,5297764,5563763,5213759.5,5677499.5,5079614.5,4964194.5,5080982,4956207,5080965,5255207.5
m_430,5959666.5,5673138.5,4560355.5,4664853,4547996,4789142,4687811,4968522,5066214.5,4839521.5,5034497.5,5033210.5,4993683,5116912,4958814.5,5255205.5,4761671.5,5125619.5,4840828.5,4629564.5,4534552.5,4658953.5,4992667,4972952
m_298,7038476.5,10277753,3150708.8,4299833.5,3691489,4759117,5212100.5,4237422.5,6186139.5,5813627.5,4385536,3668392,5392927,4419012.5,4524966.5,5908365.5,4116367,4273932,5099732,4207138.5,4445033.5,6009511,6080671.5,6001982
m_431,7083650,6787267.5,5409308,5556681.5,5454242,5728037,5626329,5945318.5,6004577.5,5769793.5,5988829.5,6007380.5,5960884,6102725,5905264.5,6295172.5,5679408,6105732.5,5762792,5564695.5,5427018.5,5548816.5,5980291.5,5954004.5
m_95,10080625,7757344,4185394.2,5893044,5596490.5,6536156,6287215,5280168.5,6102561,5834055,4547299.5,5412283.5,4990012,5147679,4244421.5,4792362.5,4675495.5,4994418,5619775.5,3983347.2,3790806.5,4339300.5,5435211,5218032.5
m_119,9553385,7168083.5,5038436.5,6887456.5,6122065.5,6966210.5,6786510,5827200,6863092.5,6589188.5,5268339.5,6165060.5,5655838.5,6630915.5,5452025,5908934.5,5927289,5935587.5,6454158,4194793.5,3706096.2,4379960,4043957,4978363.5
m_421,5100803.5,5104803,3311134,3192260.5,3086516.2,7368007,7084627.5,9083552,5779057.5,8264161.5,4744321.5,12066094,15955430,9127658,7046759.5,14290928,13327806,9454042,8293863,12513804,7578244.5,15414827,2576968,6666763
m_231,5467817.5,14271684,3014939.8,4588553.5,5219497,4811642.5,4875809,4709786,4860710,4178187.8,3105240.2,11159898,11624596,11284639,9552718,10957598,11007339,5224679,4535999.5,9280726,9523658,9821731,12161720,11014518
m_232,6022485.5,15045744,3076832.2,4404984,4887852,5302878.5,4806939.5,4523373.5,5299615,4380094,3394651,11151382,10857945,11808269,10564121,10189118,10946849,4950017,4741738,9858024,10091881,10952670,11777922,11418746
m_118,10392590,11022584,5253143.5,7806063.5,7711001,9565181,8261310.5,9458770,8815891,7943149.5,6696188,9257187,7592658.5,10178451,8019055,8309586.5,8190654,9599820,7960683.5,6613353,6364415,8419311,10974346,8166207.5
m_1,8695455,8383391,7400086,7535322,7628548.5,8082400.5,8448543,9052951,9663620,8734523,9682897,8669354,8436445,9092576,9065845,9292968,8407319,9580050,8533907,7348240.5,7240713.5,8168372,8660265,8889921
m_63,4693843.5,9316271,7852060.5,7658165.5,7898476,8382964,9167004,9635272,10303167,9457356,10345025,9161787,8990118,9454494,9418469,9991743,8709885,10267902,9178690,7398292.5,7484767.5,8784651,9339849,9252439
m_278,6154896,9205875,3582516.2,4813925,5242194.5,5828775,5069970,5357105.5,5214537,4971269,3912313.2,8115412.5,7826728,8294001,7389571,7979607,8071428.5,5239162,5141933,7161630,6536673,7449666,7744980.5,8006415.5
m_289,9445946,7702408.5,6738345,7341955,7134368,7669455.5,7603703,6302315.5,6838800,7157217.5,6401127.5,6318237.5,6162076,6513438,5764646,6163197,6160319.5,6137757,6797153.5,5674981.5,5574209,5995614,6612971.5,6528122.5
m_220,8520250,8509736,5739730,5533930,5713019.5,5958081.5,6018254,6533492,6739352,6304273.5,6551662,5880790.5,6002096.5,6660712,6786185.5,6383744.5,6376095.5,6869072,6281264,5601712.5,5466539,6355159.5,6763519,6582825
m_161,8731160,8547345,5774657,6352137.5,6352443,6414676,6152510.5,6607977.5,6856740,6542585,6770590,6703219.5,6685705.5,6842401.5,6916988,7043314,6666161.5,7084108.5,6414735.5,5990628,5847615,6430279.5,6877316,6900374
m_360,9127784,9080668,5729648.5,6310927,6360762.5,6484587.5,6268013.5,6791867.5,7176165,6613579.5,6887263.5,6835461.5,6829367,7081003.5,7172802,7057008,6749889.5,7334188,6516701,5915502,5875024.5,6666155,7023362.5,7004872
m_134,7183571,7182576,6351835,7128394,7352258.5,7249426,6994593,7202580,7191447,7155090,7061602.5,7429467.5,7565005,7134987.5,7258748,7592866,7185814,7737514,6906946.5,6743087.5,6887031.5,6842560.5,6981793.5,7172211
m_438,9910188,9826765,6014525,6530431,6561876.5,6692932,6540059.5,7093349,7458375,7067168,7274835.5,7311914.5,7343806,7338917,7560511,7528118.5,6969237,7524742,6930397,6287363,6134306.5,6935481.5,7486526.5,7395200
m_149,9293091,9394689,4577539,7028838,6929976,8379868.5,7284761.5,8251699,7630895,6980660,5784681.5,8113126.5,6562655,8938855,7100068,7127792.5,6856499,8492482,6944059,5814158.5,5526466.5,7180850.5,9024128,7220172.5
m_187,9360538,8452047,4992621,7215046,6639172,8033753,6226240.5,6100639,6554792.5,5332571,4487378.5,7334544.5,5847948,8669595,5957399,6361341.5,5804686,7324798,6171702.5,4639942.5,4911914,5742178,7742623.5,5717655
m_147,8308905.5,8656925,4024699.5,6040213,6184218.5,7336670,6446414,7548779,6758090.5,6359233,5187851,6878179.5,5838314.5,8027668.5,6309101,6414056,6185828.5,7475384,5941560.5,5141966.5,4643502,6416298.5,8474305,6223722
m_190,8562424,8793615,4221586.5,6472174,6596277.5,7724727,6772620,7799768,6963936.5,6537328.5,5402394.5,7622639.5,6554692,8261119,6615731.5,6836958.5,6649975,8005584,6258911,5586500.5,5218965.5,6547815,8694498,6483725.5
m_216,8352969.5,8411930,4282382,6538658.5,6499703.5,7489760,6527029.5,7495882.5,6896165.5,6420155.5,5304143,7673556.5,6391825.5,8190320,6433393,6754864.5,6445327,7717290.5,6156383.5,5488408.5,5074475,6214169.5,8291111,6455428.5
m_48,1448977,76893.484,6813566,10754060,9283477,21996778,16625437,16542441,14596959,16910892,7782818.5,1727160.4,1983939.6,2999822.8,1236585.5,1413590,1816433.4,9382345,15957887,2574902.2,1270480.1,1952899,1021220.4,2724248.8
m_135,656742.1,38237.6,451374.2,653359.6,160,563690.5,36130.242,225039.77,364256.7,18740686,1253909.1,1540.2065,159,971038.9,7295062,3137169.5,526242.56,2964472.8,17170.803,1517343,12080.481,2263772.5,20448.307,658277.4
m_368,4491282,153911.22,397082.3,128156.266,145,347688.34,351024.88,966488,439041.9,23152366,10712365,14219.219,1762.3203,287139.62,10931303,495627.72,252155.38,5518873,2353.4473,831273.94,7951.5654,3918435.2,7257.7695,560387.7
m_207,1656815.4,147820.25,1932938.2,3508318.2,3013948.8,4323023,715653.94,547533.56,14961867,611206.2,362555.38,22493.857,34437.902,7477546,6420145,36373.46,7712099.5,1498942.1,10818031,827261.4,513716.78,232639.66,56030.83,873676.2
m_49,12845805,966061.7,3573.753,102910.45,271049.72,916238.94,174126.78,1066400.6,2485727,434370.94,105977.8,111011.87,211900.88,300806.53,106128.195,139757.66,116126.125,2034253.2,308661.06,5665.384,1491.2007,38738.16,81508.83,247986.9
m_82,5595031.5,395337.22,437416.84,63500.15,17751.03,69960.26,5259946.5,4679600,117468.05,5021837.5,3633446.5,1096567,718318,100179.72,114360.32,844537.1,85879.984,4507529.5,135620.27,127232.984,119564.41,247819.53,399885.7,127252.81
m_23,5377823.5,3041000,972.5406,98258.58,71292.39,316464.12,1716211.6,1765941,1389910.4,3072297.8,3497090.2,568848.44,511237.25,152242.64,140802.92,521008.16,128195.19,1262780.5,2166723,186114.62,221886.16,1468352.5,2791409.5,1563173.2
m_128,5619416,16311.325,367871.97,754516.3,1084523.2,1912218.8,2025113.9,4972301.5,2889369.2,2799386,5710291,14322.006,90247.58,91996.03,85186.7,65525.953,93786.89,2170469.2,2910622,57295.926,49887.426,89418.51,9971.679,48616.133
m_199,579317.94,3714277.2,58739.05,156747.78,25576.416,104870.58,178897.11,406526.72,207015.52,219070.36,271403.62,1722961.9,990668.6,1439552.4,1255416.5,2647548,316216.44,378352.72,95421.25,4187284.2,2807248.8,5267868,15542.611,5786789.5
m_238,3057029.8,4682164.5,454142.38,1253099.8,856326.56,1486707.2,776597.5,1807273,1691513.9,1028111.94,1498099.4,3009334.2,1941075,2014201.4,2065524.5,4630326.5,623800.06,1112915.1,1112282.2,5203252.5,3360172,5654183.5,6270.6016,6668006
m_120,3498434,524797.2,1009071.9,4103924,3656009.2,4366524.5,2162067.8,3537642.8,377955.97,3644844.2,3086798.5,3712581.5,3294255,3509628.8,2883325.2,3565274,3182533.5,1683569.4,412948.12,300786.28,252340.42,315225.22,323179.28,381495.06
m_122,3238187.2,4420.2817,1825488.5,3982143.2,3560101,4356156,2256581,2165226.5,1683810.2,2456028.2,1770005.9,2437873,2119888,3652711.8,3029357.2,2128654.5,3380036,1811932.2,1892389.4,1493.244,265,1030.7793,3184.6174,531.4271
m_10,1674749.5,3129489.2,612488.75,870023.9,760703.8,2089073.8,1188739.1,1619429.8,1253215.5,1019715.25,635053.6,2339123,2567869,3387550.8,1392293.6,3347316.8,2756261,2578674.5,2426033,2153738,2180194.8,3299898.5,2926224.5,2521135.8
