formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C38H33NO10	[M + Na]+	C38H33NNaO10+	Polyketides	0.551	Polycyclic aromatic polyketides	0.585	Anthraquinones and anthrones	0.350	Benzenoids	0.988	Benzene and substituted derivatives	0.848	Benzoyl derivatives	0.501			Benzoyl derivatives	0.501	Organic compounds; Organoheterocyclic compounds; Ketones; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	686.201	82	603011614391347196	603010757868327210	13
1	C32H36N6O6S2	[M + Na]+	C32H36N6NaO6S2+	Amino acids and Peptides	0.931	Oligopeptides	0.776	Cyclamides	0.347	Benzenoids	0.988	Benzene and substituted derivatives	0.930					Benzene and substituted derivatives	0.930	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	687.201	82	603011525300135488	603010758191288623	14
1	C31H39N3O9S2	[M + Na]+	C31H39N3NaO9S2+	Amino acids and Peptides	0.948	Oligopeptides	0.759	Depsipeptides	0.063	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.638	Amino acids and derivatives	0.622	Alpha amino acids and derivatives	0.583	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	684.202	82	603011497034720591	603010758480695604	16
1	C37H36N2O7S2	[M + H]+	C37H37N2O7S2+	Amino acids and Peptides	0.670	Peptide alkaloids	0.256	Thiodiketopiperazine alkaloids	0.037	Benzenoids	0.997	Benzene and substituted derivatives	0.966	Benzenesulfonyl compounds	0.546			Benzenesulfonyl compounds	0.546	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	685.202	82	603011488285402384	603010758862377273	17
1	C25H31N5O11S	[M + H]+	C25H32N5O11S+	Amino acids and Peptides	0.794	Oligopeptides	0.652	Cyclamides	0.314	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.955	Amino acids, peptides, and analogues	0.725	Amino acids and derivatives	0.717	N-acyl-alpha amino acids and derivatives	0.623	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Diazines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosylamines; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	610.183	83	603011616064874548	603010759097258302	22
1	C32H62N4O10	[M + H3N + H]+	C32H66N5O10+	Amino acids and Peptides	0.373	Oligopeptides	0.377	Cyclic peptides	0.100	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.791	Amino acids and derivatives	0.782	Alpha amino acids and derivatives	0.695	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	680.479	83	603011621706213661	603010759340527939	24
4	C39H58N4O5	[M + H]+	C39H59N4O5+	Polyketides	0.156	Flavonoids	0.045	Chalcones	0.054	Benzenoids	0.997	Benzene and substituted derivatives	0.985	Diphenylmethanes	0.512			Diphenylmethanes	0.512	Organic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Diphenylmethanes; Ureas; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	663.453	83	603011622196947256	603010759827067208	25
1	C30H38ClN5O7S2	[M + Na]+	C30H38ClN5NaO7S2+	Amino acids and Peptides	0.945	Oligopeptides	0.987	Cyclamides	0.668	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.977	Amino acids, peptides, and analogues	0.876	Amino acids and derivatives	0.868	Alpha amino acids and derivatives	0.751	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazoles; Azetidines; Alcohols and polyols; Lactams; Beta lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Thioethers; Organochlorides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Thiazolecarboxylic acids and derivatives; Benzene and substituted derivatives; Amines; 2,4-disubstituted thiazoles; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	702.176	83	603011683538643651	603010760242303309	30
1	C26H35N5O12S	[M + H]+	C26H36N5O12S+	Amino acids and Peptides	0.801	Oligopeptides	0.791	Pyrimidine nucleosides	0.153	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.971	Amino acids and derivatives	0.969	N-acyl-alpha amino acids and derivatives	0.881	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Diazines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	642.210	83	603011937965138798	603010760510738770	31
1	C35H33N7O6S	[M + Na]+	C35H33N7NaO6S+	Amino acids and Peptides	0.750	Oligopeptides	0.643	Cyclamides	0.500	Benzenoids	0.984	Benzene and substituted derivatives	0.932					Benzene and substituted derivatives	0.932	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	702.212	83	603011710222805812	603010760728842583	32
